"One or more services timed out", "Un ou plusieurs services ont expiré"
"One or more services failed", "Un ou plusieurs services ont échoué"
"Success", "Succès"
"Invalid request", "Requête invalide"
"Invalid parameter", "Paramètre invalide"
"Not authorized for one or more services", "Vous n'avez pas l'autorisation d'utiliser un ou plusieurs services"
"Service unavailable", "Service non disponible"
"Email codes Code Description", "Email codes Code Description"
"Timeout", "Délai d'attente épuisé"
"Syntax OK", "Syntaxe correcte"
"Syntax OK and domain valid according to the domain database", "Syntaxe et nom de domaine valides selon la base de données"
"Syntax OK and domain exists", "Syntaxe correcte et nom de domaine valide"
"Syntax OK, domain exists, and domain can receive email", "Syntaxe correcte, nom de domaine valide et peut recevoir des emails"
"Syntax OK, domain exists, and mailbox does not reject mail", "Syntaxe correcte, nom de domaine valide et la mailbox ne rejette pas les emails"
"General syntax error", "Erreur générale dans la syntaxe"
"Invalid character in address", "Caractère invalide dans l'adresse"
"Invalid domain syntax", "Syntaxe du domaine incorrecte"
"Invalid username syntax", "Syntaxe de l'utilisateur incorrecte"
"Invalid username syntax for that domain", "Syntaxe utilisateur incorrecte pour ce domaine"
"Address is too long", "Adresse très longue"
"Address has unbalanced parentheses, brackets, or quotes", "Address has unbalanced parentheses, brackets, or quotes"
"Address does not have a username", "L'adresse n'a pas d'utilisateur"
"Address does not have a domain", "L'adresse n'a pas de domaine"
"Address does not have an @ sign", "L'adresse n'a pas le signe @"
"Address has more than one @ sign", "L'adresse a plus d'un signe @"
"Invalid top-level-domain (TLD) in address", "Le top-level-domain (TLD) dans l'adresse n'est pas valide"
"Unquoted spaces are not allowed in email addresses", "Les espaces ne sont pas autorisés dans l'adresse mail"
"Domain does not exist", "Le domaine n'existe pas"
"Domain does not have a valid IP address", "Le domaine a adresse IP invalide"
"Domain cannot receive email", "Le domaine ne peut pas recevoir d'emails"
"The mailbox is invalid or the username does not exist at the domain", "La mailbox ou l'utilisateur n'existe pas pour ce domaine"
"Mailbox is full and can not receive email at this time", "La mailbox est pleine et ne peut recevoir d'e-mails supplémentaires"
"Mail is not accepted for this domain", "L'e-mail n'est pas accepté pour ce domaine"
"Addresses with that username are not allowed", "Les adresses mail avec cet utilisateur ne sont pas autorisées"
"Addresses with that domain are not allowed", "Les adresses mail avec ce domaine ne sont pas autorisées"
"The email address is suppressed and not allowed", "L'adresse e-mail est supprimée et n'est plus autorisée"
"Internal error", "Erreur interne"
"unreachable", "Domaine invalide: enregistrement DNS (DNS= Domain Name System) invalide ou inexistant ou server mail injoignable."
"unknown", "Ne peut pas donner de réponse concluante sur l’adresse email."
"illegitimate", "Emails pour lesquels il est nocif d’envoyer des emails"
"disposable", "Appartient à un email créé pour une durée limitée, par ex mailinator.com ou jetable.org"
"undeliverable", "L’email n’est pas délivrable – n’existe pas, boite email fermée ou pleine."
